Component,Condition,Bus1,Bus2
BKR73,1,11,73
BKR74,LPCY2_MAIN_MTU\XCBR1\Pos = 2,73,74
,,,
// RP3_OL,,,
MTR55,RP3_MAIN_PM8\MMXU1\PPV\zavg >= 50,55,
BKR55,1,126,55
BKR56,RP3_MAIN_MTU\XCBR1\Pos = 2,55,56
,,,
// RP4_OL,,,
MTR75,RP4_MAIN_PM8\MMXU1\PPV\zavg >= 50,75,
BKR75,1,126,75
BKR76,RP4_MAIN_MTU\XCBR1\Pos = 2,75,76
,,,
// RP5_OL,,,
MTR77,RP5_MAIN_PM8\MMXU1\PPV\zavg >= 50,77,
BKR77,1,127,77
BKR78,RP5_MAIN_MTU\XCBR1\Pos = 2,77,78
,,,
// MSA_OL,,,
MTR180,MSA_MAIN_MTU\MMXU1\PPV\zavg >= 50,180,
BKR180,1,179,180
BKR179,MSA_TIE_MSB_MTU\XCBR1\Pos = 2,181,191
BKR181,(MSA_MAIN_MTU\XCBR1\Pos = 2) & (MSA_MAIN_MTU\XCBR1\CBRkdPos=0),180,181
BKR182,MSA_MDB1_MTU\XCBR1\Pos = 2,181,182
BKR183,MSA_MDB2_MTU\XCBR1\Pos = 2,181,183
BKR184,MSA_MDB3_MTU\XCBR1\Pos = 2,181,184
BKR185,MSA_MDB4_MTU\XCBR1\Pos = 2,181,185
BKR186,MSA_MDB5_MTU\XCBR1\Pos = 2,181,186
BKR187,MSA_MDB6_MTU\XCBR1\Pos = 2,181,187
BKR188,MSA_NHA_MTU\XCBR1\Pos_On,181,188
,,,
// MSB_OL,,,
MTR190,MSB_MAIN_MTU\MMXU1\PPV\zavg >= 50,190,
BKR190,1,189,190
BKR191,(MSB_MAIN_MTU\XCBR1\Pos = 2) & (MSB_MAIN_MTU\XCBR1\CBRkdPos=0),190,191
BKR192,MSB_MDB7_MTU\XCBR1\Pos = 2,191,192
BKR193,MSB_MDB8_MTU\XCBR1\Pos = 2,191,193
BKR194,MSB_MDB9_MTU\XCBR1\Pos = 2,191,194
BKR195,MSB_MDB10_MTU\XCBR1\Pos = 2,191,195
BKR196,MSB_MDB11_MTU\XCBR1\Pos = 2,191,196
BKR197,MSB_MDB12_MTU\XCBR1\Pos = 2,191,197
BKR198,MSB_MDBM_MTU\XCBR1\Pos_On,191,198
,,,
// IYS1_OL,,,
MTR200,IYS1_MAIN_CM4\MMXU1\PPV\zavg >= 50,125,
MTR201,IYS1_IYRMG1_PM8\MMXU1\PPV\zavg >= 50,200,
MTR202,IYS1_TIE_IYS2_PM8\MMXU1\PPV\zavg >= 50,200,
MTR203,IYS1_IYRMG3_PM8\MMXU1\PPV\zavg >= 50,200,
